
418.2;418;01/13/2013;07:12;HFL 4? ANDAR POSTO 1;LIVRE
350.09-CTI-PEDIATRIC;350;01/13/2013;06:56;HFL 3? ANDAR CTI PEDIATRICO;LIVRE
432.2;432;01/13/2013;10:44;HFL 4? ANDAR POSTO 2;OCUPADO
438.1;438;01/13/2013;08:43;HFL 4? ANDAR POSTO 2;OCUPADO
436.1;436;01/13/2013;11:08;HFL 4? ANDAR POSTO 2;OCUPADO
436.2;436;01/13/2013;10:59;HFL 4? ANDAR POSTO 2;OCUPADO
434.1;434;01/13/2013;10:48;HFL 4? ANDAR POSTO 2;OCUPADO
434.2;434;01/13/2013;10:53;HFL 4? ANDAR POSTO 2;OCUPADO
430.2;430;01/13/2013;11:27;HFL 4? ANDAR POSTO 2;OCUPADO
616.2;616;01/13/2013;06:57;HFL 6? ANDAR POSTO 1;LIVRE
638.2;638;01/13/2013;06:58;HFL 6? ANDAR POSTO 2 ;LIVRE
632.2;632;01/13/2013;05:36;HFL 6? ANDAR POSTO 2 ;OCUPADO
630.1;630;01/13/2013;03:37;HFL 6? ANDAR POSTO 2 ;OCUPADO
630.2;630;01/13/2013;01:58;HFL 6? ANDAR POSTO 2 ;OCUPADO
748.5-U.CORONARIANA;748;01/13/2013;07:19;HFL 7? ANDAR UNIDADE CORONARIANA;OCUPADO
852.2;852;01/13/2013;05:31;HFL 8? ANDAR POSTO 2;LIVRE
852.1;852;01/13/2013;08:53;HFL 8? ANDAR POSTO 2;OCUPADO
850.1;850;01/13/2013;05:31;HFL 8? ANDAR POSTO 2;LIVRE
850.1;850;01/13/2013;03:56;HFL 8? ANDAR POSTO 2;OCUPADO
846.1;846;01/13/2013;05:30;HFL 8? ANDAR POSTO 2;OCUPADO
700.10 - CTI ADULTO;700;01/13/2013;12:54;HFL 7? ANDAR CTI ADULTO;OCUPADO
700.10 - CTI ADULTO;700;01/13/2013;12:54;HFL 7? ANDAR CTI ADULTO;LIVRE
844.5;844;01/13/2013;06:54;HFL 8? ANDAR POSTO 1;LIVRE
844.5;844;01/13/2013;08:32;HFL 8? ANDAR POSTO 1;OCUPADO
842.1;842;01/13/2013;03:56;HFL 8? ANDAR POSTO 1;OCUPADO
842.1;842;01/13/2013;03:56;HFL 8? ANDAR POSTO 1;LIVRE
842.2;842;01/13/2013;06:54;HFL 8? ANDAR POSTO 1;OCUPADO
842.2;842;01/13/2013;06:53;HFL 8? ANDAR POSTO 1;LIVRE
842.2;842;01/13/2013;08:33;HFL 8? ANDAR POSTO 1;OCUPADO
842.2;842;01/13/2013;08:33;HFL 8? ANDAR POSTO 1;LIVRE
842.3;842;01/13/2013;08:59;HFL 8? ANDAR POSTO 1;OCUPADO
842.3;842;01/13/2013;08:59;HFL 8? ANDAR POSTO 1;LIVRE
502.2;502;01/13/2013;06:52;HFL 5? ANDAR POSTO 1 ;OCUPADO
328.2;328;01/13/2013;05:27;HFL 3? ANDAR ;OCUPADO
326.1;326;01/13/2013;05:54;HFL 3? ANDAR ;OCUPADO
432.1;432;01/13/2013;11:16;HFL 4? ANDAR POSTO 2;OCUPADO
